Gene,Panel
AKT1,FORECAST
APC,FORECAST
AR,FORECAST
ARID1A,FORECAST
ARID1B,FORECAST
ASXL1,FORECAST
ATM,FORECAST
BRAF,FORECAST
BRCA1,FORECAST
BRCA2,FORECAST
CDK12,FORECAST
CDKN1B,FORECAST
CHD1,FORECAST
CTNNB1,FORECAST
FOXA1,FORECAST
IDH1,FORECAST
KDM6A,FORECAST
KMT2C,FORECAST
KMT2D,FORECAST
NEAT1,FORECAST
PALB2,FORECAST
PIK3CA,FORECAST
PIK3R1,FORECAST
PTEN,FORECAST
RB1,FORECAST
SPOP,FORECAST
TP53,FORECAST
ZFHX3,FORECAST
B2M,IMMUNE
CALR,IMMUNE
CANX,IMMUNE
CD4,IMMUNE
CD74,IMMUNE
CD8A,IMMUNE
CD8B,IMMUNE
CIITA,IMMUNE
CREB1,IMMUNE
CTSB,IMMUNE
CTSL,IMMUNE
CTSS,IMMUNE
ERAP1,IMMUNE
ERAP2,IMMUNE
FAS,IMMUNE
HLA-A,IMMUNE
HLA-B,IMMUNE
HLA-C,IMMUNE
HLA-DMA,IMMUNE
HLA-DMB,IMMUNE
HLA-DOA,IMMUNE
HLA-DOB,IMMUNE
HLA-DPA1,IMMUNE
HLA-DPB1,IMMUNE
HLA-DQA1,IMMUNE
HLA-DQA2,IMMUNE
HLA-DQB1,IMMUNE
HLA-DRA,IMMUNE
HLA-DRB1,IMMUNE
HLA-DRB3,IMMUNE
HLA-DRB4,IMMUNE
HLA-DRB5,IMMUNE
HLA-E,IMMUNE
HLA-F,IMMUNE
HLA-G,IMMUNE
HSP90AA1,IMMUNE
HSP90AB1,IMMUNE
HSPA1A,IMMUNE
HSPA1B,IMMUNE
HSPA1L,IMMUNE
HSPA2,IMMUNE
HSPA4,IMMUNE
HSPA5,IMMUNE
HSPA6,IMMUNE
HSPA8,IMMUNE
HSPBP1,IMMUNE
IFI30,IMMUNE
IFNG,IMMUNE
IRF1,IMMUNE
KIR2DL1,IMMUNE
KIR2DL2,IMMUNE
